Timestamp,Distance covered from previous time interval
2024-05-12T20:13:02.796Z,0.58
2024-05-12T20:13:07.806Z,0.22
2024-05-12T20:13:12.811Z,0.32
2024-05-12T20:13:22.855Z,0.28
2024-05-12T20:13:27.859Z,0.49
2024-05-12T20:13:32.861Z,0.11
2024-05-12T20:13:38.379Z,0.34
2024-05-12T20:13:43.380Z,0.08
2024-05-12T20:13:48.386Z,0.28
2024-05-12T20:13:53.385Z,0.35
2024-05-12T20:13:58.417Z,0.11
2024-05-12T20:14:03.492Z,0.24
2024-05-12T20:14:08.492Z,0.24
2024-05-12T20:14:13.493Z,0.33
2024-05-12T20:14:18.498Z,0.13
2024-05-12T20:14:23.558Z,0.21
2024-05-12T20:14:28.561Z,0.1
2024-05-12T20:14:33.564Z,0.1
2024-05-12T20:14:38.565Z,0.28
2024-05-12T20:14:43.633Z,0.24
2024-05-12T20:14:48.705Z,0.19
2024-05-12T20:14:53.710Z,0.46
2024-05-12T20:14:58.777Z,0.49
2024-05-12T20:15:03.784Z,0.12
2024-05-12T20:15:08.816Z,0.48
2024-05-12T20:15:13.867Z,0.38
2024-05-12T20:15:19.385Z,0.37
2024-05-12T20:15:24.420Z,0.49
2024-05-12T20:15:29.500Z,0.32
2024-05-12T20:15:34.560Z,0.32
2024-05-12T20:15:39.559Z,0.34
2024-05-12T20:15:44.630Z,0.16
2024-05-12T20:15:49.631Z,0.5
2024-05-12T20:15:54.635Z,0.65
2024-05-12T20:15:59.698Z,0.45
2024-05-12T20:16:04.769Z,0.4
2024-05-12T20:16:09.799Z,0.32
2024-05-12T20:16:14.805Z,0.3
2024-05-12T20:16:19.806Z,0.15
2024-05-12T20:16:24.816Z,0.32
2024-05-12T20:16:29.869Z,0.28
2024-05-12T20:16:34.869Z,0.32
2024-05-12T20:16:40.385Z,0.24
2024-05-12T20:16:45.419Z,0.26
2024-05-12T20:16:50.421Z,0.15
2024-05-12T20:16:55.495Z,0.08
2024-05-12T20:17:00.503Z,0.21
2024-05-12T20:17:05.564Z,0.47
2024-05-12T20:17:10.635Z,36
2024-05-12T20:17:15.696Z,0.12
2024-05-12T20:17:20.699Z,0.26
2024-05-12T20:17:25.706Z,0.21
2024-05-12T20:17:30.707Z,0.17
2024-05-12T20:17:35.770Z,0.26
2024-05-12T20:17:40.775Z,0.07
2024-05-12T20:17:45.776Z,0.15
2024-05-12T20:17:50.803Z,0.46
2024-05-12T20:17:55.854Z,0.36
2024-05-12T20:18:00.860Z,0.18
2024-05-12T20:18:05.863Z,0.42
2024-05-12T20:18:11.379Z,0.24
2024-05-12T20:18:16.380Z,0.37
2024-05-12T20:18:21.379Z,0.44
2024-05-12T20:18:26.381Z,7
2024-05-12T20:18:31.386Z,0.17
2024-05-12T20:18:36.420Z,0.3
2024-05-12T20:18:41.494Z,0.21
2024-05-12T20:18:46.556Z,0.78
2024-05-12T20:18:51.617Z,0.73
2024-05-12T20:18:56.632Z,0.1
2024-05-12T20:18:56.632Z,3
2024-05-12T20:19:01.700Z,0.63
2024-05-12T20:19:06.705Z,0.28
2024-05-12T20:19:11.773Z,0.45
2024-05-12T20:19:16.774Z,0.27
2024-05-12T20:19:21.802Z,0.12
2024-05-12T20:19:26.802Z,47
2024-05-12T20:19:31.804Z,1.82
2024-05-12T20:19:36.804Z,0.63
2024-05-12T20:19:41.808Z,0.85
2024-05-12T20:19:46.858Z,1
2024-05-12T20:19:46.859Z,0.24
2024-05-12T20:19:51.860Z,0.66
2024-05-12T20:19:56.861Z,0.59
2024-05-12T20:20:01.862Z,0.85
2024-05-12T20:20:06.876Z,0.46
2024-05-12T20:20:12.386Z,0.65
2024-05-12T20:20:17.419Z,0.82
2024-05-12T20:20:22.493Z,0.56
2024-05-12T20:20:27.497Z,0.17
2024-05-12T20:20:32.557Z,0.1
2024-05-12T20:20:37.562Z,0.13
2024-05-12T20:20:42.630Z,0.29
2024-05-12T20:20:47.632Z,0.17
2024-05-12T20:20:52.704Z,0.3
2024-05-12T20:20:57.774Z,0.1
2024-05-12T20:21:02.814Z,18
2024-05-12T20:21:07.817Z,0.29
2024-05-12T20:21:12.867Z,0.53
2024-05-12T20:21:17.871Z,0.41
2024-05-12T20:21:22.872Z,52
2024-05-12T20:21:27.875Z,33
2024-05-12T20:21:33.379Z,0.61
2024-05-12T20:21:38.413Z,0.32
2024-05-12T20:21:43.418Z,0.54
2024-05-12T20:21:48.423Z,0.35
2024-05-12T20:21:53.497Z,0.7
2024-05-12T20:21:58.560Z,0.78
2024-05-12T20:22:03.562Z,0.41
2024-05-12T20:22:08.562Z,0.27
2024-05-12T20:22:13.561Z,0.32
2024-05-12T20:22:18.561Z,0.14
2024-05-12T20:22:23.562Z,0.24
2024-05-12T20:22:28.564Z,0.24
2024-05-12T20:22:33.632Z,0.2
2024-05-12T20:22:38.632Z,28
2024-05-12T20:22:43.632Z,0.35
2024-05-12T20:22:48.640Z,0.17
2024-05-12T20:22:53.709Z,0.2
2024-05-12T20:22:58.774Z,0.13
2024-05-12T20:23:03.778Z,0.15
2024-05-12T20:23:08.821Z,0.18
2024-05-12T20:23:13.822Z,9
2024-05-12T20:23:18.824Z,0.06
2024-05-12T20:23:23.877Z,0.52
2024-05-12T20:23:28.880Z,0.45
2024-05-12T20:23:34.383Z,0.44
2024-05-12T20:23:39.416Z,0.27
2024-05-12T20:23:44.421Z,0.36
2024-05-12T20:23:49.492Z,0.42
2024-05-12T20:23:54.503Z,0.38
2024-05-12T20:23:59.557Z,0.32
2024-05-12T20:24:04.627Z,0.49
2024-05-12T20:24:09.631Z,0.3
2024-05-12T20:24:14.629Z,0.27
2024-05-12T20:24:19.631Z,0.26
2024-05-12T20:24:24.636Z,0.05
2024-05-12T20:24:29.700Z,0.14
2024-05-12T20:24:34.702Z,0.21
2024-05-12T20:24:39.702Z,0.35
2024-05-12T20:24:44.703Z,0.28
2024-05-12T20:24:49.774Z,0.12
2024-05-12T20:24:54.780Z,0.26
2024-05-12T20:24:59.817Z,15
2024-05-12T20:25:04.818Z,0.4
2024-05-12T20:25:09.868Z,0.36
2024-05-12T20:25:14.873Z,0.19
2024-05-12T20:25:20.380Z,0.18
2024-05-12T20:25:25.385Z,0.21
2024-05-12T20:25:30.387Z,0.21
2024-05-12T20:25:35.417Z,0.18
2024-05-12T20:25:40.421Z,0.08
2024-05-12T20:25:45.490Z,0.02
2024-05-12T20:25:50.495Z,0.14
2024-05-12T20:25:55.504Z,24
2024-05-12T20:26:00.566Z,0.32
2024-05-12T20:26:05.634Z,0.25
2024-05-12T20:26:10.698Z,0.47
2024-05-12T20:26:15.702Z,0.12
2024-05-12T20:26:20.702Z,0.38
2024-05-12T20:26:25.771Z,0.16
2024-05-12T20:26:30.775Z,15
2024-05-12T20:26:35.814Z,0.27
2024-05-12T20:26:40.814Z,0.48
2024-05-12T20:26:45.866Z,0.18
2024-05-12T20:26:50.869Z,41
2024-05-12T20:26:55.875Z,0.35
2024-05-12T20:27:01.383Z,42
2024-05-12T20:27:06.383Z,0.48
2024-05-12T20:27:11.420Z,13
2024-05-12T20:27:16.489Z,0.23
2024-05-12T20:27:21.496Z,12
2024-05-12T20:27:26.556Z,0.25
2024-05-12T20:27:31.556Z,0.38
2024-05-12T20:27:36.560Z,0.5
2024-05-12T20:27:41.563Z,0.3
2024-05-12T20:27:46.627Z,0.39
2024-05-12T20:27:51.632Z,0.22
2024-05-12T20:27:56.703Z,0.08
2024-05-12T20:28:01.704Z,21
2024-05-12T20:28:06.706Z,0.4
2024-05-12T20:28:11.776Z,40
2024-05-12T20:28:16.776Z,33
2024-05-12T20:28:21.819Z,26
2024-05-12T20:28:26.819Z,0.22
2024-05-12T20:28:31.821Z,0.17
2024-05-12T20:28:36.871Z,0.13
2024-05-12T20:28:42.388Z,0.2
2024-05-12T20:28:42.389Z,1
2024-05-12T20:28:47.415Z,0.13
2024-05-12T20:28:52.417Z,0.22
2024-05-12T20:28:57.417Z,0.2
2024-05-12T20:29:02.417Z,0.21
2024-05-12T20:29:07.419Z,0.13
2024-05-12T20:29:12.494Z,13
2024-05-12T20:29:17.496Z,29
2024-05-12T20:29:22.555Z,0.2
2024-05-12T20:29:27.557Z,24
2024-05-12T20:29:32.626Z,13
2024-05-12T20:29:37.628Z,25
2024-05-12T20:29:42.630Z,0.09
2024-05-12T20:29:47.700Z,0.14
2024-05-12T20:29:52.769Z,0.11
2024-05-12T20:29:57.772Z,28
2024-05-12T20:30:02.772Z,0.11
2024-05-12T20:30:07.774Z,0.22
2024-05-12T20:30:12.775Z,0.2
2024-05-12T20:30:17.816Z,0.21
2024-05-12T20:30:22.870Z,0.17
2024-05-12T20:30:27.869Z,0.08
2024-05-12T20:30:33.375Z,0.17
2024-05-12T20:30:38.376Z,0.17
2024-05-12T20:30:43.409Z,0.35
2024-05-12T20:30:48.418Z,0.12
2024-05-12T20:30:53.417Z,0.1
2024-05-12T20:30:58.491Z,0.06
2024-05-12T20:31:03.495Z,0.05
2024-05-12T20:31:08.554Z,0.51
2024-05-12T20:31:13.556Z,0.28
2024-05-12T20:31:18.558Z,0.39
2024-05-12T20:31:23.620Z,0.09
2024-05-12T20:31:28.625Z,0.66
2024-05-12T20:31:33.628Z,0.68
2024-05-12T20:31:38.628Z,0.48
2024-05-12T20:31:43.628Z,0.41
2024-05-12T20:31:48.630Z,0.12
2024-05-12T20:31:53.701Z,0.34
2024-05-12T20:31:58.702Z,0.18
2024-05-12T20:32:03.769Z,0.25
2024-05-12T20:32:08.771Z,0.14
2024-05-12T20:32:13.771Z,0.23
2024-05-12T20:32:18.776Z,0.17
2024-05-12T20:32:23.815Z,0.11
2024-05-12T20:32:28.865Z,0.29
2024-05-12T20:34:35.940Z,0.14
2024-05-12T20:34:35.940Z,0.22
2024-05-12T20:34:35.940Z,0.24
2024-05-12T20:34:35.940Z,0.19
2024-05-12T20:34:35.940Z,0.13
2024-05-12T20:34:35.940Z,0.27
2024-05-12T20:34:35.940Z,0.16
2024-05-12T20:34:35.940Z,0.02
2024-05-12T20:34:35.940Z,0.44
2024-05-12T20:34:35.940Z,0.45
2024-05-12T20:34:35.940Z,0.22
2024-05-12T20:34:35.940Z,0.7
2024-05-12T20:34:35.940Z,0.62
2024-05-12T20:34:35.940Z,0.42
2024-05-12T20:34:35.940Z,0.24
2024-05-12T20:34:35.940Z,0.19
2024-05-12T20:34:35.940Z,0.74
2024-05-12T20:34:35.940Z,0.06
2024-05-12T20:34:35.940Z,0.06
2024-05-12T20:34:35.940Z,0.07
2024-05-12T20:34:35.940Z,0.14
2024-05-12T20:34:35.940Z,0.09
2024-05-12T20:34:35.940Z,0.08
2024-05-12T20:34:35.940Z,0.1
2024-05-12T20:34:35.940Z,0.07
2024-05-12T20:34:39.864Z,0.22
2024-05-12T20:34:44.869Z,9
2024-05-12T20:34:49.868Z,0.16
2024-05-12T20:34:54.869Z,18
2024-05-12T20:35:00.380Z,0.3
2024-05-12T20:35:05.379Z,0.12
2024-05-12T20:42:41.964Z,0.45
2024-05-12T20:42:41.964Z,0.21
2024-05-12T20:42:41.964Z,0.49
2024-05-12T20:42:41.964Z,0.34
2024-05-12T20:42:41.964Z,0.4
2024-05-12T20:42:41.964Z,0.1
2024-05-12T20:42:41.964Z,0.24
2024-05-12T20:42:41.964Z,0.16
2024-05-12T20:42:41.964Z,0.23
2024-05-12T20:42:41.964Z,0.45
2024-05-12T20:42:41.964Z,0.25
2024-05-12T20:42:41.964Z,0.38
2024-05-12T20:42:41.964Z,0.3
2024-05-12T20:42:41.964Z,0.21
2024-05-12T20:42:41.964Z,0.03
2024-05-12T20:42:41.964Z,0.03
2024-05-12T20:42:41.964Z,0.04
2024-05-12T20:42:41.964Z,0.06
2024-05-12T20:42:41.964Z,0.07
2024-05-12T20:42:41.964Z,0.17
2024-05-12T20:42:41.964Z,0.18
2024-05-12T20:42:41.964Z,0.04
2024-05-12T20:42:41.964Z,0.19
2024-05-12T20:42:41.964Z,0.2
2024-05-12T20:42:41.964Z,0.32
2024-05-12T20:42:41.964Z,0.21
2024-05-12T20:42:41.964Z,0.31
2024-05-12T20:42:41.964Z,0.23
2024-05-12T20:42:41.964Z,0.18
2024-05-12T20:42:41.964Z,0.21
2024-05-12T20:42:41.964Z,0.27
2024-05-12T20:42:41.964Z,0.28
2024-05-12T20:42:41.964Z,0.32
2024-05-12T20:42:41.964Z,0.13
2024-05-12T20:42:41.964Z,0.06
2024-05-12T20:42:41.964Z,0.02
2024-05-12T20:42:41.964Z,0.3
2024-05-12T20:42:41.964Z,0.29
2024-05-12T20:42:41.964Z,0.42
2024-05-12T20:42:41.964Z,0.42
2024-05-12T20:42:41.964Z,0.17
2024-05-12T20:42:41.964Z,0.27
2024-05-12T20:42:41.964Z,0.2
2024-05-12T20:42:41.964Z,0.15
2024-05-12T20:42:41.964Z,0.23
2024-05-12T20:42:41.964Z,0.09
2024-05-12T20:42:41.964Z,0.2
2024-05-12T20:42:41.964Z,0.11
2024-05-12T20:42:41.964Z,0.19
2024-05-12T20:42:41.964Z,0.17
2024-05-12T20:42:41.964Z,0.18
2024-05-12T20:42:41.964Z,0.35
2024-05-12T20:42:41.964Z,0.26
2024-05-12T20:42:41.964Z,0.38
2024-05-12T20:42:41.964Z,0.3
2024-05-12T20:42:41.964Z,0.25
2024-05-12T20:42:41.964Z,0.28
2024-05-12T20:42:41.964Z,0.34
2024-05-12T20:42:41.964Z,0.24
2024-05-12T20:42:41.964Z,0.32
2024-05-12T20:42:41.964Z,0.14
2024-05-12T20:42:41.964Z,0.54
2024-05-12T20:42:41.964Z,0.3
2024-05-12T20:42:41.964Z,0.36
2024-05-12T20:42:41.964Z,0.26
2024-05-12T20:42:41.964Z,0.27
2024-05-12T20:42:41.964Z,0.32
2024-05-12T20:42:41.964Z,0.15
2024-05-12T20:42:41.964Z,0.23
2024-05-12T20:42:41.964Z,0.02
2024-05-12T20:42:41.964Z,0.04
2024-05-12T20:42:41.964Z,0.19
2024-05-12T20:42:41.964Z,0.12
2024-05-12T20:42:41.964Z,0.15
2024-05-12T20:42:41.964Z,0.24
2024-05-12T20:42:41.964Z,0.43
2024-05-12T20:42:41.964Z,0.49
2024-05-12T20:42:41.964Z,0.43
2024-05-12T20:42:41.964Z,0.14
2024-05-12T20:42:41.964Z,0.09
2024-05-12T20:42:41.964Z,0.17
2024-05-12T20:42:41.964Z,0.35
2024-05-12T20:42:41.964Z,0.21
2024-05-12T20:42:41.964Z,0.12
2024-05-12T20:42:41.964Z,0.09
2024-05-12T20:42:41.964Z,0.12
2024-05-12T20:42:41.964Z,0.11
2024-05-12T20:42:41.964Z,0.38
2024-05-12T20:42:41.964Z,0.13
2024-05-12T20:42:41.964Z,0.24
2024-05-12T20:42:44.552Z,0.4
2024-05-12T20:42:49.622Z,0.35
2024-05-12T20:42:54.627Z,0.42
2024-05-12T20:42:59.690Z,0.65
2024-05-12T20:43:04.692Z,0.4
2024-05-12T20:43:09.696Z,0.22
2024-05-12T21:00:42.795Z,0.23
2024-05-12T21:00:42.795Z,0.4
2024-05-12T21:00:42.795Z,0.24
2024-05-12T21:00:42.795Z,0.11
2024-05-12T21:00:42.795Z,0.09
2024-05-12T21:00:42.795Z,0.12
2024-05-12T21:00:42.795Z,0.05
2024-05-12T21:00:42.795Z,0.23
2024-05-12T21:00:42.795Z,0.32
2024-05-12T21:00:42.795Z,0.4
2024-05-12T21:00:42.795Z,0.58
2024-05-12T21:00:42.795Z,0.48
2024-05-12T21:00:42.795Z,0.1
2024-05-12T21:00:42.795Z,0.43
2024-05-12T21:00:42.795Z,0.29
2024-05-12T21:00:42.795Z,0.09
2024-05-12T21:00:42.795Z,0.26
2024-05-12T21:00:42.795Z,0.17
2024-05-12T21:00:42.795Z,0.17
2024-05-12T21:00:42.795Z,0.09
2024-05-12T21:00:42.795Z,0.19
2024-05-12T21:00:42.795Z,0.25
2024-05-12T21:00:42.795Z,0.09
2024-05-12T21:00:42.795Z,0.1
2024-05-12T21:00:42.795Z,0.12
2024-05-12T21:00:42.795Z,0.16
2024-05-12T21:00:42.795Z,0.12
2024-05-12T21:00:42.795Z,0.13
2024-05-12T21:00:42.795Z,0.08
2024-05-12T21:00:42.795Z,0.19
2024-05-12T21:00:42.795Z,0.14
2024-05-12T21:00:42.795Z,0.3
2024-05-12T21:00:42.795Z,0.24
2024-05-12T21:00:42.795Z,0.24
2024-05-12T21:00:42.795Z,0.25
2024-05-12T21:00:42.795Z,0.11
2024-05-12T21:00:42.795Z,0.25
2024-05-12T21:00:42.795Z,0.13
2024-05-12T21:00:42.795Z,0.15
2024-05-12T21:00:42.795Z,0.23
2024-05-12T21:00:42.795Z,0.26
2024-05-12T21:00:42.795Z,0.29
2024-05-12T21:00:42.795Z,0.21
2024-05-12T21:00:42.795Z,0.22
2024-05-12T21:00:42.795Z,0.42
2024-05-12T21:00:42.795Z,0.37
2024-05-12T21:00:42.795Z,0.1
2024-05-12T21:00:42.795Z,0.07
2024-05-12T21:00:42.795Z,0.16
2024-05-12T21:00:42.795Z,0.15
2024-05-12T21:00:42.795Z,0.31
2024-05-12T21:00:42.795Z,0.32
2024-05-12T21:00:42.795Z,0.22
2024-05-12T21:00:42.795Z,0.22
2024-05-12T21:00:42.795Z,0.29
2024-05-12T21:00:42.795Z,0.09
2024-05-12T21:00:42.795Z,0.17
2024-05-12T21:00:42.795Z,0.15
2024-05-12T21:00:42.795Z,0.09
2024-05-12T21:00:42.795Z,0.25
2024-05-12T21:00:42.795Z,0.27
2024-05-12T21:00:42.795Z,0.28
2024-05-12T21:00:42.795Z,0.27
2024-05-12T21:00:42.795Z,0.17
2024-05-12T21:00:42.795Z,0.22
2024-05-12T21:00:42.795Z,0.22
2024-05-12T21:00:42.795Z,0.22
2024-05-12T21:00:42.795Z,0.11
2024-05-12T21:00:42.795Z,0.22
2024-05-12T21:00:42.795Z,0.14
2024-05-12T21:00:42.795Z,0.06
2024-05-12T21:00:42.795Z,0.16
2024-05-12T21:00:42.795Z,0.13
2024-05-12T21:00:42.795Z,0.13
2024-05-12T21:00:42.795Z,0.07
2024-05-12T21:00:42.795Z,0.1
2024-05-12T21:00:42.795Z,0.06
2024-05-12T21:00:42.795Z,0.06
2024-05-12T21:00:42.795Z,0.04
2024-05-12T21:00:42.795Z,0.19
2024-05-12T21:00:42.795Z,0.13
2024-05-12T21:00:42.795Z,0.36
2024-05-12T21:00:42.795Z,0.24
2024-05-12T21:00:42.796Z,0.15
2024-05-12T21:00:42.796Z,0.1
2024-05-12T21:00:42.796Z,0.2
2024-05-12T21:00:42.795Z,0.27
2024-05-12T21:00:42.796Z,0.16
2024-05-12T21:00:42.795Z,0.19
2024-05-12T21:00:42.796Z,0.1
2024-05-12T21:00:42.796Z,0.16
2024-05-12T21:00:42.796Z,0.22
2024-05-12T21:00:42.796Z,0.23
2024-05-12T21:00:42.796Z,0.22
2024-05-12T21:00:42.796Z,0.24
2024-05-12T21:00:42.796Z,0.13
2024-05-12T21:00:42.796Z,0.19
2024-05-12T21:00:42.796Z,0.11
2024-05-12T21:00:42.796Z,0.26
2024-05-12T21:00:42.796Z,0.41
2024-05-12T21:00:42.796Z,0.53
2024-05-12T21:00:42.796Z,0.55
2024-05-12T21:00:42.796Z,0.4
2024-05-12T21:00:42.796Z,0.29
2024-05-12T21:00:42.796Z,0.22
2024-05-12T21:00:42.796Z,0.16
2024-05-12T21:00:42.796Z,0.03
2024-05-12T21:00:42.796Z,0.06
2024-05-12T21:00:42.796Z,0.09
2024-05-12T21:00:42.796Z,0.08
2024-05-12T21:00:42.796Z,0.23
2024-05-12T21:00:42.796Z,0.38
2024-05-12T21:00:42.796Z,0.3
2024-05-12T21:00:42.796Z,0.32
2024-05-12T21:00:42.796Z,0.2
2024-05-12T21:00:42.796Z,0.4
2024-05-12T21:00:42.796Z,0.37
2024-05-12T21:00:42.796Z,0.3
2024-05-12T21:00:42.796Z,0.23
2024-05-12T21:00:42.796Z,0.23
2024-05-12T21:00:42.796Z,0.17
2024-05-12T21:00:42.796Z,0.29
2024-05-12T21:00:42.796Z,0.19
2024-05-12T21:00:42.796Z,0.3
2024-05-12T21:00:42.796Z,0.29
2024-05-12T21:00:42.796Z,0.24
2024-05-12T21:00:42.796Z,0.22
2024-05-12T21:00:42.796Z,0.03
2024-05-12T21:00:42.796Z,0.44
2024-05-12T21:00:42.796Z,0.34
2024-05-12T21:00:42.796Z,0.31
2024-05-12T21:00:42.796Z,0.29
2024-05-12T21:00:42.796Z,0.36
2024-05-12T21:00:42.796Z,0.19
2024-05-12T21:00:42.796Z,0.47
2024-05-12T21:00:42.796Z,0.26
2024-05-12T21:00:42.796Z,0.44
2024-05-12T21:00:42.796Z,0.37
2024-05-12T21:00:42.796Z,0.36
2024-05-12T21:00:42.796Z,0.24
2024-05-12T21:00:42.796Z,0.06
2024-05-12T21:00:42.796Z,0.1
2024-05-12T21:00:42.796Z,0.33
2024-05-12T21:00:42.796Z,0.48
2024-05-12T21:00:42.796Z,0.41
2024-05-12T21:00:42.796Z,0.63
2024-05-12T21:00:42.796Z,0.63
2024-05-12T21:00:42.796Z,0.63
2024-05-12T21:00:42.796Z,0.45
2024-05-12T21:00:42.796Z,0.28
2024-05-12T21:00:42.796Z,0.27
2024-05-12T21:00:42.796Z,0.36
2024-05-12T21:00:42.796Z,0.31
2024-05-12T21:00:42.796Z,0.3
2024-05-12T21:00:42.796Z,0.24
2024-05-12T21:00:42.797Z,0.78
2024-05-12T21:00:42.797Z,0.82
2024-05-12T21:00:42.796Z,0.41
2024-05-12T21:00:42.797Z,0.86
2024-05-12T21:00:42.799Z,0.72
2024-05-12T21:00:42.799Z,0.34
2024-05-12T21:00:42.799Z,0.71
2024-05-12T21:00:42.799Z,0.36
2024-05-12T21:00:42.799Z,0.23
2024-05-12T21:00:42.799Z,0.52
2024-05-12T21:00:42.799Z,0.22
2024-05-12T21:00:42.799Z,0.6
2024-05-12T21:00:42.796Z,0.44
2024-05-12T21:00:42.800Z,0.27
2024-05-12T21:00:42.800Z,0.21
2024-05-12T21:00:42.800Z,0.44
2024-05-12T21:00:42.800Z,0.31
2024-05-12T21:00:42.796Z,0.34
2024-05-12T21:00:42.800Z,0.32
2024-05-12T21:00:42.800Z,0.32
2024-05-12T21:00:42.800Z,0.1
2024-05-12T21:00:42.800Z,0.45
2024-05-12T21:00:42.803Z,0.18
2024-05-12T21:00:42.803Z,0.28
2024-05-12T21:00:42.803Z,0.06
2024-05-12T21:00:42.800Z,0.19
2024-05-12T21:00:42.803Z,0.15
2024-05-12T21:00:42.803Z,0.16
2024-05-12T21:00:42.803Z,0.16
2024-05-12T21:00:42.803Z,0.2
2024-05-12T21:00:42.803Z,0.26
2024-05-12T21:00:42.803Z,0.31
2024-05-12T21:00:42.803Z,0.15
2024-05-12T21:00:42.803Z,0.17
2024-05-12T21:00:42.803Z,0.23
2024-05-12T21:00:42.803Z,0.21
2024-05-12T21:00:42.803Z,0.19
2024-05-12T21:00:42.803Z,0.22
2024-05-12T21:00:42.803Z,0.25
2024-05-12T21:00:42.803Z,0.22
2024-05-12T21:00:42.803Z,0.15
2024-05-12T21:00:42.803Z,0.11
2024-05-12T21:00:42.803Z,0.09
2024-05-12T21:00:42.803Z,0.21
2024-05-12T21:00:42.803Z,0.04
2024-05-12T21:00:42.803Z,0.16
2024-05-12T21:00:42.803Z,0.19
2024-05-12T21:00:42.803Z,0.11
2024-05-12T21:00:42.803Z,0.15
2024-05-12T21:00:42.803Z,0.3
2024-05-12T21:00:42.803Z,0.17
2024-05-12T21:00:42.803Z,0.29
2024-05-12T21:00:42.803Z,0.08
2024-05-12T21:00:44.797Z,0.23
2024-05-12T21:00:49.846Z,0.07
2024-05-12T21:00:54.861Z,19
2024-05-12T21:01:00.375Z,0.06
2024-05-12T21:01:05.410Z,0.12
2024-05-12T21:01:10.485Z,0.2
2024-05-12T21:01:10.488Z,8
2024-05-12T21:01:15.487Z,0.07
2024-05-12T21:01:25.493Z,0.03
2024-05-12T21:01:30.552Z,0.16
2024-05-12T21:01:35.619Z,0.13
2024-05-12T21:01:40.623Z,0.16
2024-05-12T21:04:28.298Z,0.26
2024-05-12T21:04:28.298Z,0.14
2024-05-12T21:04:28.298Z,0.21
2024-05-12T21:04:28.298Z,0.03
2024-05-12T21:04:28.298Z,0.29
2024-05-12T21:04:28.298Z,0.3
2024-05-12T21:04:28.298Z,0.17
2024-05-12T21:04:28.298Z,0.08
2024-05-12T21:04:28.298Z,0.08
2024-05-12T21:04:28.298Z,0.2
2024-05-12T21:04:28.298Z,0.11
2024-05-12T21:04:28.298Z,0.24
2024-05-12T21:04:28.298Z,0.15
2024-05-12T21:04:28.298Z,0.17
2024-05-12T21:04:28.298Z,0.28
2024-05-12T21:04:28.298Z,0.31
2024-05-12T21:04:28.298Z,0.31
2024-05-12T21:04:28.298Z,0.31
2024-05-12T21:04:28.298Z,0.11
2024-05-12T21:04:28.298Z,0.35
2024-05-12T21:04:28.298Z,0.38
2024-05-12T21:04:28.298Z,0.41
2024-05-12T21:04:28.298Z,0.31
2024-05-12T21:04:28.298Z,0.26
2024-05-12T21:04:28.298Z,0.16
2024-05-12T21:04:28.298Z,0.17
2024-05-12T21:04:28.298Z,0.24
2024-05-12T21:04:28.298Z,0.36
2024-05-12T21:04:28.298Z,0.11
2024-05-12T21:04:28.298Z,0.59
2024-05-12T21:04:28.298Z,0.26
2024-05-12T21:04:28.298Z,0.13
2024-05-12T21:04:28.298Z,0.35
2024-05-12T21:04:31.812Z,0.34
2024-05-12T21:04:36.812Z,83
